Column1;url;sdg_tag;ISO3166;Location;Service;policy_code;Policy
173;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/index_en.htm;sdg;404;404;information;404;404
174;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/social-security/index_en.htm;sdg;404;404;information;404;404
175;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/social-security-forms/index_en.htm;sdg;404;404;information;404;404
176;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/transferring-unemployment-benefits/index_en.htm;sdg;404;404;information;404;404
177;https://europa.eu/youreurope/citizens/work/unemployment-and-benefits/unemployment/index_en.htm;sdg;404;404;information;404;404
178;https://europa.eu/youreurope/citizens/work/work-abroad/access-to-jobs-in-the-public-sector/index_en.htm;sdg;404;404;information;404;404
179;https://europa.eu/youreurope/citizens/work/work-abroad/cross-border-commuters/index_en.htm;sdg;404;404;information;404;404
180;https://europa.eu/youreurope/citizens/work/work-abroad/equal-treatment-with-nationals/index_en.htm;sdg;404;404;information;404;404
181;https://europa.eu/youreurope/citizens/work/work-abroad/index_en.htm;sdg;404;404;information;404;404
182;https://europa.eu/youreurope/citizens/work/work-abroad/posted-workers/index_en.htm;sdg;404;404;information;404;404
183;https://europa.eu/youreurope/citizens/work/work-abroad/work-in-public-sector-abroad/index_en.htm;sdg;404;404;information;404;404
184;https://europa.eu/youreurope/citizens/work/work-abroad/work-permits/index_en.htm;sdg;404;404;information;404;404
